mysql> select * from lunch
+-----+-----------------------+----------------------------------------------------------------------+-------+
| id  | name                  | description                                                          | price |
+-----+-----------------------+----------------------------------------------------------------------+-------+
|   1 | portabella mushrooms  | A light yoghurt made with saffron and fresh kiwi fruit               |    11 |
|   2 | peas                  | A crunchy salad featuring pepperoni and dried parsley                |     9 |
|   3 | sazon                 | A crunchy salad featuring fresh chickpea and baby courgette          |    16 |
|   4 | tomatoes              | Fresh redcurrant and horseradish served on a bed of lettuce          |    22 |
|   5 | cookies               | A crunchy salad featuring fresh juniper berry and cashew             |    11 |
|   6 | artificial sweetener  | Fresh damson and jasmine served on a bed of lettuce                  |    23 |
|   7 | bean sprouts          | Cornmeal and peppermint served on a bed of lettuce                   |    18 |
|   8 | garlic powder         | A crisp salad featuring peanut and halibut                           |    11 |
|   9 | cantaloupes           | Gochu jang and piccalilli served on a bed of lettuce                 |    13 |
|  10 | chives                | Fresh beetroot and ruby grapefruit served on a bed of lettuce        |     9 |
|  11 | croutons              | A crisp salad featuring toenjang and irish whiskey                   |    21 |
|  12 | cream of tartar       | A crisp salad featuring button mushroom and fresh jalape             |    13 |
|  13 | chestnuts             | Bean and prosciutto served on a bed of lettuce                       |    17 |
|  14 | grits                 | A crunchy salad featuring fresh chamomile and venison                |    10 |
|  15 | sauerkraut            | Lea bacon and flaxseed oil served on a bed of lettuce                |    11 |
|  16 | parsnips              | Pork sausage meat and tuna served on a bed of lettuce                |    19 |
|  17 | lemon juice           | A crunchy salad featuring tumeric and buckwheat                      |    18 |
|  18 | heavy cream           | A crunchy salad featuring fresh chilli and mascarpone                |    13 |
|  19 | chai                  | Marinaded tofu and italian dressing served on a bed of lettuce       |    20 |
|  20 | ale                   | Tripe and cider vinegar served on a bed of lettuce                   |    22 |
|  21 | baguette              | Sharon fruit and fresh cherimoya served on a bed of lettuce          |    19 |
|  22 | condensed milk        | A crunchy salad featuring cumin seeds and smoked salmon              |    12 |
|  23 | flour                 | Kalonji and sweet dessert wine served on a bed of lettuce            |    22 |
|  24 | brussels sprouts      | Black mustard seeds and red cabbage served on a bed of lettuce       |    12 |
|  25 | veal                  | A crisp salad featuring fresh potato and chervil                     |    10 |
|  26 | kumquats              | A crunchy salad featuring swordfish and fried paneer                 |    19 |
|  27 | lettuce               | A crunchy salad featuring Spanish chorizo and ostrich                |    10 |
|  28 | lentils               | Pecan and baby onion served on a bed of lettuce                      |    21 |
|  29 | cauliflower           | A crisp salad featuring fresh longan and mandarin                    |    22 |
|  30 | kidney beans          | A crunchy salad featuring fresh jerusalem artichoke and acorn squash |    22 |
|  31 | turtle                | A crisp salad featuring galliano and fresh mint                      |    18 |
|  32 | white beans           | Limpa and fresh cranberries served on a bed of lettuce               |    17 |
|  33 | salt                  | Fresh mangetout and spring onion served on a bed of lettuce          |    16 |
|  34 | bagels                | Fresh quinoa and adobo seasoning served on a bed of lettuce          |    22 |
|  35 | celery                | Mizuna and rainbow trout served on a bed of lettuce                  |    10 |
